"eyeD","targetRR","RR1","RR2","JRR","JDET","JLAM","JENTR","RAD1","RAD2","avgRR","JRR_RR","JRR_RR2"
2,1,10.0066577347729,0.999748051833635,0.105976704732865,0.726566130190512,1.5291682507498,0,1,40.4953580753158,5.50320289330326,0.0192572774050955,0.0034992853758907
3,1,0.995790657038558,0.999748051833635,0.0112364942710891,0,0.51792828685259,0,0.543578064335787,40.4953580753158,0.997769354436096,0.0112616149425029,0.0112867917745055
2,2,2.23879314142296,2.00003778327157,0.0480841374365608,0.242063122614282,0.912391769853831,0,0.00661045900164899,59.2171992274025,2.11941546234727,0.0226874524088388,0.0107045800183567
3,2,1.99901262104525,2.00003778327157,0.0442699967517131,0.343816361613914,1.13762766710486,0,0.720991628462757,59.2171992274025,1.99952520215841,0.0221402544483687,0.0110727558844816
2,4,2.23879314142296,3.99900563740737,0.0950491021369574,0.518085908063301,1.56838733986436,0,0.998750325274107,90.0666201875533,3.11889938941517,0.0304752062408721,0.00977114117380573
3,4,3.99054469152197,3.99900563740737,0.173153929048388,1.19703198117842,3.29248429380284,0.0278798704683955,0.984633849960078,90.0666201875533,3.99477516446467,0.0433451000168096,0.0108504479557157
2,8,10.0066577347729,7.99883050925762,0.839912278345601,4.17814826856555,9.40549731103993,0.158289567507942,1.00015972704054,148.056503682155,9.00274412201526,0.093295140566273,0.0103629670355875
3,8,8.00377725275146,7.99883050925762,0.675093947836164,3.52249970159547,7.96441691754751,0.145744817581412,1.4224368220339,148.056503682155,8.00130388100454,0.0843729919368352,0.0105449053293852
2,16,16.7826666824246,15.9973745102948,2.81091872084107,12.1081189550582,23.3924615504673,0.310427578615275,1.41734058959686,272.566542324337,16.3900205963597,0.171501841886971,0.0104637966059092
3,16,15.9979385733538,15.9973745102948,2.64860733726064,10.6077303243167,20.4421915881848,0.302143592414781,2.242891524966,272.566542324337,15.9976565418243,0.165562207835637,0.0103491537902936
2,32,31.5265408680698,31.9950623889557,10.4692252567024,34.5919452939526,52.1413165438586,0.706637079002003,2.8232945514044,547.704044035774,31.7608016285127,0.329627236086631,0.0103784293589968
3,32,31.9994182092448,31.9950623889557,10.4521556341304,31.2974372482381,47.9469503746582,0.684294180249913,4.08609181342394,547.704044035774,31.9972402991003,0.32665803476884,0.0102089440125255
2,64,64.5623040776208,63.9904247162047,41.9297170265747,78.7112530868877,88.0067914198135,1.62691014224727,5.38661632690304,1267.2346091615,64.2763643969127,0.652334919997259,0.0101489081736022
3,64,63.9877387016379,63.9904247162047,41.3174265760011,75.9754230395136,85.76840977752,1.56410171238986,10.0986817527273,1267.2346091615,63.9890817089213,0.64569494470868,0.0100907049681674
