"eyeD","targetRR","RR1","RR2","JRR","JDET","JLAM","JENTR","RAD1","RAD2","avgRR","JRR_RR","JRR_RR2"
2,1,1.97371439006574,0.966712929145362,0.021300219138057,0.411522633744856,0.617283950617284,0,0.00923963003621709,0.346231067699905,1.47021365960555,0.0144878392326811,0.00985424066633152
3,1,0.99927319211103,0.966712929145362,0.0106135865595325,0.0688231245698555,0.30970406056435,0,0.524580489535814,0.346231067699905,0.982993060628196,0.0107972141255501,0.0109840186650453
2,2,1.97371439006574,2.01397735573411,0.0441782322863404,0.363756613756614,1.12433862433862,0,0.994898238921512,0.393665294284707,1.99384587289993,0.0221572955496735,0.0111128426980402
3,2,1.9977465303141,2.01397735573411,0.0431117604090577,0.304981362250085,1.39359539139275,0,0.70248193738784,0.393665294284707,2.00586194302411,0.0214928851703826,0.0107150371166518
2,4,1.97371439006574,3.98320672023375,0.0859313367421475,0.586535192111527,1.92749064943897,0,0.999800918100935,0.451872970014959,2.97846055514974,0.0288509232037915,0.00968652183555307
3,4,3.98077794010226,3.98320672023375,0.165135135135135,1.06604149157341,3.02892909275888,0,0.972890259786779,0.451872970014959,3.98199233016801,0.0414704804637752,0.0104145053594379
2,8,8.79453981008035,7.88800219138057,0.747647918188459,3.99597471495706,8.7755121979815,0.129443035167542,1.00087363678672,0.532881139400276,8.34127100073046,0.089632373546308,0.0107456493786689
3,8,8.00107377647918,7.88800219138057,0.645438276113952,3.06132264982656,7.17684938405736,0.0961043074423183,1.430645354665,0.532881139400276,7.94453798392988,0.0812430222398756,0.0102262740016113
2,16,14.7129802775749,15.9111504747991,2.4758984660336,10.848781754268,19.2695541089333,0.298853215269651,1.99361548688287,0.659860899045233,15.312065376187,0.161695917905632,0.0105600331459594
3,16,15.9973119065011,15.9111504747991,2.57613951789627,9.10587271229622,16.770752551581,0.250549427361017,2.2947908778274,0.659860899045233,15.9542311906501,0.161470614729841,0.0101208646659495
2,32,30.8668590211833,31.942611395179,10.1758546384222,30.9988805336685,42.4756536710707,0.649794995373383,2.99455298037707,0.888634057131813,31.4047352081812,0.324022940202066,0.0103176459872732
3,32,31.9962965668371,31.942611395179,10.2587910883857,27.2601275180616,38.5783968354388,0.562893207637778,4.22510068949787,0.888634057131813,31.969453981008,0.32089353463716,0.0100375043886515
2,64,63.2752081811541,64.0238495252009,40.8745872899927,73.3990340136079,79.7553572535921,1.47587960794683,6.08157877146698,1.4841566738381,63.6495288531775,0.642182087227691,0.0100893454955344
3,64,63.9879474068663,64.0238495252009,40.9987143900657,71.3321552957174,78.0602253023665,1.4109574286726,10.2710965156791,1.4841566738381,64.0058984660336,0.640545877374454,0.0100076069975703
