RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,method,system,coupling,RR_target
0.4992,100,40,86,31.2,2.8571028374420018,80.12820512820514,2,2,500,-0,0.03704053170776326,469,MvJRQA,2,0.12,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,469,MvJRQA,j,0.12,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,469,MdRQA,f,0.12,NA
0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.09,469,MdRQA_crqa,f,0.12,NA
0.49839999999999995,100,52,206,23.96153846153846,2.938182454686123,36.51685393258427,2.0681818181818183,3,220,0.2489102793527851,0.15255610958680926,470,MvJRQA,1,0.14,0.5
0.49839999999999995,100,42,82,29.666666666666668,2.9785084205272376,83.62760834670947,2,2,521,-0,0.039411189293816457,470,MvJRQA,2,0.14,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,470,MvJRQA,j,0.14,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,470,MdRQA,f,0.14,NA
0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.09,470,MdRQA_crqa,f,0.14,NA
0.49839999999999995,100,52,206,23.96153846153846,2.938182454686123,36.51685393258427,2.0681818181818183,3,220,0.2489102793527851,0.15255610958680926,471,MvJRQA,1,0.16,0.5
0.49839999999999995,100,54,67,23.074074074074073,2.9683918915419625,77.52808988764045,2,2,483,-0,0.041139956986344824,471,MvJRQA,2,0.16,0.5
0.0031999999999999997,100,2,4,4,-0,0,0,0,0,0,NA,471,MvJRQA,j,0.16,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,471,MdRQA,f,0.16,NA
0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.09,471,MdRQA_crqa,f,0.16,NA
0.49839999999999995,100,52,206,23.96153846153846,2.938182454686123,36.51685393258427,2.0681818181818183,3,220,0.2489102793527851,0.15255610958680926,472,MvJRQA,1,0.18,0.5
0.4992,100,62,66,20.129032258064516,3.0255969038318313,68.75,2.0140845070422535,3,426,0.0740225961475812,0.04152690630115252,472,MvJRQA,2,0.18,0.5
0.025599999999999998,100,6,15,10.666666666666666,1.0986122886681096,0,0,0,0,0,NA,472,MvJRQA,j,0.18,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,472,MdRQA,f,0.18,NA
0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.09,472,MdRQA_crqa,f,0.18,NA
0.49839999999999995,100,52,206,23.96153846153846,2.938182454686123,36.51685393258427,2.0681818181818183,3,220,0.2489102793527851,0.15255610958680926,473,MvJRQA,1,0.2,0.5
0.5,100,68,46,18.38235294117647,2.9501378444440376,63.36000000000001,2.015267175572519,3,393,0.07899812836316994,0.04182935950399046,473,MvJRQA,2,0.2,0.5
0.0392,100,8,19,12.25,1.3862943611198906,0,0,0,0,0,NA,473,MvJRQA,j,0.2,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,473,MdRQA,f,0.2,NA
0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.09,473,MdRQA_crqa,f,0.2,NA
0.49839999999999995,100,52,206,23.96153846153846,2.938182454686123,36.51685393258427,2.0681818181818183,3,220,0.2489102793527851,0.15255610958680926,474,MvJRQA,1,0.22,0.5
0.49839999999999995,99.83948635634029,72,45,17.27777777777778,3.0923514767625604,61.23595505617978,2.023872679045093,3,377,0.11275037990903844,0.04223495951016591,474,MvJRQA,2,0.22,0.5
0.05280000000000001,100,8,23,16.5,1.3862943611198906,0,0,0,0,0,NA,474,MvJRQA,j,0.22,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,474,MdRQA,f,0.22,NA
0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.09,474,MdRQA_crqa,f,0.22,NA
0.49839999999999995,100,52,206,23.96153846153846,2.938182454686123,36.51685393258427,2.0681818181818183,3,220,0.2489102793527851,0.15255610958680926,475,MvJRQA,1,0.24,0.5
0.4968,100,78,40,15.923076923076923,2.83258681409062,57.407407407407405,2.0547550432276656,3,347,0.21228499852276256,0.043036624104119243,475,MvJRQA,2,0.24,0.5
0.0584,100,8,26,18.25,1.3862943611198906,0,0,0,0,0,NA,475,MvJRQA,j,0.24,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,475,MdRQA,f,0.24,NA
0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.09,475,MdRQA_crqa,f,0.24,NA
0.49839999999999995,100,52,206,23.96153846153846,2.938182454686123,36.51685393258427,2.0681818181818183,3,220,0.2489102793527851,0.15255610958680926,476,MvJRQA,1,0.26,0.5
0.49839999999999995,99.83948635634029,82,37,15.170731707317072,2.981807923591387,55.93900481540931,2.0682492581602374,3,337,0.24908659640113917,0.04404959349931367,476,MvJRQA,2,0.26,0.5
0.0624,100,8,31,19.5,1.3862943611198906,0,0,0,0,0,NA,476,MvJRQA,j,0.26,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,0.09,476,MdRQA,f,0.26,NA
