RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,method,system,coupling,RR_target
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,9,MvJRQA,1,0.16,0.5
0.5,100,36,249,34.72222222222222,2.5052899909184174,46.32,2.0174216027874565,3,287,0.08782722075363315,0.04459392692030422,9,MvJRQA,2,0.16,0.5
0.1944,100,8,153,60.75,1.3862943611198906,0,0,0,0,0,NA,9,MvJRQA,j,0.16,0.5
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,9,MdRQA,f,0.16,NA
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,9,MdRQA_crqa,f,0.16,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,10,MvJRQA,1,0.18,0.5
0.5008,100,36,282,34.77777777777778,2.6593226977095163,39.6964856230032,2.0203252032520327,3,246,0.09930206221928012,0.04490044496572481,10,MvJRQA,2,0.18,0.5
0.212,100,6,153,88.33333333333333,1.0986122886681096,0,0,0,0,0,NA,10,MvJRQA,j,0.18,0.5
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,10,MdRQA,f,0.18,NA
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,10,MdRQA_crqa,f,0.18,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,11,MvJRQA,1,0.2,0.5
0.49760000000000004,99.83922829581994,40,292,31.05,2.649158683274018,29.099678456591636,2.0451977401129944,3,177,0.1841247881928229,0.04602069937304282,11,MvJRQA,2,0.2,0.5
0.23839999999999997,100,8,153,74.5,1.3862943611198906,0,0,0,0,0,NA,11,MvJRQA,j,0.2,0.5
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,11,MdRQA,f,0.2,NA
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,11,MdRQA_crqa,f,0.2,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,12,MvJRQA,1,0.22,0.5
0.4992,100,38,376,32.8421052631579,2.62504815873254,27.564102564102566,2.072289156626506,3,166,0.2595204355303089,0.04762446886289155,12,MvJRQA,2,0.22,0.5
0.2504,100,6,153,104.33333333333333,1.0986122886681096,0,0,0,0,0,NA,12,MvJRQA,j,0.22,0.5
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,12,MdRQA,f,0.22,NA
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,12,MdRQA_crqa,f,0.22,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,13,MvJRQA,1,0.24,0.5
0.4992,100,38,396,32.8421052631579,2.5066618124970015,28.205128205128204,2.0828402366863905,3,169,0.2856519945852223,0.04999914550017115,13,MvJRQA,2,0.24,0.5
0.2656,100,6,153,110.66666666666667,1.0986122886681096,0,0,0,0,0,NA,13,MvJRQA,j,0.24,0.5
0.049600000000000005,98.38709677419355,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,13,MdRQA,f,0.24,NA
0.049600000000000005,98.38709677419355,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,13,MdRQA_crqa,f,0.24,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,14,MvJRQA,1,0.26,0.5
0.49839999999999995,100,40,398,31.15,2.2899515160332604,24.15730337078652,2.119718309859155,3,142,0.36636336737771624,0.05241488003717195,14,MvJRQA,2,0.26,0.5
0.2768,100,8,153,86.5,1.3862943611198906,0,0,0,0,0,NA,14,MvJRQA,j,0.26,0.5
0.0504,100,6,50,21,1.0986122886681096,0,0,0,0,0,0.09,14,MdRQA,f,0.26,NA
0.0504,100,6,50,21,1.0986122886681096,0,NA,NA,NA,NA,0.09,14,MdRQA_crqa,f,0.26,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,15,MvJRQA,1,0.28,0.5
0.4992,100,36,401,34.666666666666664,2.1831872696020134,22.596153846153847,2.1203007518796992,3,133,0.36752379042345323,0.055211389724604695,15,MvJRQA,2,0.28,0.5
0.2904,100,8,153,90.75,1.3862943611198906,0,0,0,0,0,NA,15,MvJRQA,j,0.28,0.5
0.052,100,6,50,21.666666666666668,1.0986122886681096,0,0,0,0,0,0.09,15,MdRQA,f,0.28,NA
0.052,100,6,50,21.666666666666668,1.0986122886681096,0,NA,NA,NA,NA,0.09,15,MdRQA_crqa,f,0.28,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,16,MvJRQA,1,0.3,0.5
0.4992,100,32,499,39,2.133381930264545,17.868589743589745,2.207920792079208,3,101,0.511188814206582,0.05700814932334549,16,MvJRQA,2,0.3,0.5
0.3136,100,8,153,98,1.3862943611198906,0,0,0,0,0,NA,16,MvJRQA,j,0.3,0.5
0.052,100,6,50,21.666666666666668,1.0986122886681096,0,0,0,0,0,0.09,16,MdRQA,f,0.3,NA
0.052,100,6,50,21.666666666666668,1.0986122886681096,0,NA,NA,NA,NA,0.09,16,MdRQA_crqa,f,0.3,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,17,MvJRQA,1,0.32,0.5
0.49839999999999995,100,32,499,38.9375,2.3933121229745242,18.37881219903692,2.4105263157894736,3,95,0.677049534966598,0.06004658971320312,17,MvJRQA,2,0.32,0.5
0.3136,100,8,153,98,1.3862943611198906,0,0,0,0,0,NA,17,MvJRQA,j,0.32,0.5
0.05280000000000001,100,6,50,22,1.0986122886681096,0,0,0,0,0,0.09,17,MdRQA,f,0.32,NA
0.05280000000000001,100,6,50,22,1.0986122886681096,0,NA,NA,NA,NA,0.09,17,MdRQA_crqa,f,0.32,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,18,MvJRQA,1,0.34,0.5
0.4992,100,32,499,39,2.3393717343898155,20.432692307692307,2.217391304347826,3,115,0.5235863374812598,0.06460758765379716,18,MvJRQA,2,0.34,0.5
0.3136,100,8,153,98,1.3862943611198906,0,0,0,0,0,NA,18,MvJRQA,j,0.34,0.5
0.05280000000000001,100,6,50,22,1.0986122886681096,0,0,0,0,0,0.09,18,MdRQA,f,0.34,NA
0.05280000000000001,100,6,50,22,1.0986122886681096,0,NA,NA,NA,NA,0.09,18,MdRQA_crqa,f,0.34,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,19,MvJRQA,1,0.36,0.5
0.4992,99.83974358974359,28,499,44.5,2.1065773332321154,22.03525641025641,2.3504273504273505,3,117,0.6477107843991425,0.06457760425301529,19,MvJRQA,2,0.36,0.5
0.3136,100,8,153,98,1.3862943611198906,0,0,0,0,0,NA,19,MvJRQA,j,0.36,0.5
0.0536,100,6,50,22.333333333333332,1.0986122886681096,0,0,0,0,0,0.09,19,MdRQA,f,0.36,NA
0.0536,100,6,50,22.333333333333332,1.0986122886681096,0,NA,NA,NA,NA,0.09,19,MdRQA_crqa,f,0.36,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,20,MvJRQA,1,0.38,0.5
0.49839999999999995,99.83948635634029,24,499,51.833333333333336,2.2538575896013517,24.23756019261637,2.3053435114503817,4,131,0.6444124135972251,0.06732180187274482,20,MvJRQA,2,0.38,0.5
0.3136,100,8,153,98,1.3862943611198906,0,0,0,0,0,NA,20,MvJRQA,j,0.38,0.5
0.0536,100,6,50,22.333333333333332,1.0986122886681096,0,0,0,0,0,0.09,20,MdRQA,f,0.38,NA
0.0536,100,6,50,22.333333333333332,1.0986122886681096,0,NA,NA,NA,NA,0.09,20,MdRQA_crqa,f,0.38,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,21,MvJRQA,1,0.4,0.5
0.4992,100,20,499,62.4,2.3025850929940455,26.923076923076923,2.3013698630136985,4,146,0.6762339970180717,0.06957090827070338,21,MvJRQA,2,0.4,0.5
0.3136,100,8,153,98,1.3862943611198906,0,0,0,0,0,NA,21,MvJRQA,j,0.4,0.5
0.0536,100,6,50,22.333333333333332,1.0986122886681096,0,0,0,0,0,0.09,21,MdRQA,f,0.4,NA
0.0536,100,6,50,22.333333333333332,1.0986122886681096,0,NA,NA,NA,NA,0.09,21,MdRQA_crqa,f,0.4,NA
0.4992,100,22,284,56.72727272727273,2.3978952727983707,44.71153846153847,5.58,8,100,1.8880882498500755,0.1281061596228315,22,MvJRQA,1,0,0.5
0.49839999999999995,100,12,301,103.83333333333333,1.242453324894,70.30497592295345,2,2,438,-0,0.031088610157283782,22,MvJRQA,2,0,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,22,MvJRQA,j,0,0.5
0.1376,100,18,53,19.11111111111111,1.8891591637540215,0,0,0,0,0,0.09,22,MdRQA,f,0,NA
0.1376,100,18,53,19.11111111111111,1.8891591637540215,0,NA,NA,NA,NA,0.09,22,MdRQA_crqa,f,0,NA
0.4992,100,22,284,56.72727272727273,2.3978952727983707,44.71153846153847,5.58,8,100,1.8880882498500755,0.1281061596228315,23,MvJRQA,1,0.02,0.5
0.4992,100,8,301,156,1.3862943611198906,70.3525641025641,2,2,439,-0,0.03484459171543085,23,MvJRQA,2,0.02,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,23,MvJRQA,j,0.02,0.5
0.1376,100,18,53,19.11111111111111,1.8891591637540215,0,0,0,0,0,0.09,23,MdRQA,f,0.02,NA
0.1376,100,18,53,19.11111111111111,1.8891591637540215,0,NA,NA,NA,NA,0.09,23,MdRQA_crqa,f,0.02,NA
0.4992,100,22,284,56.72727272727273,2.3978952727983707,44.71153846153847,5.58,8,100,1.8880882498500755,0.1281061596228315,24,MvJRQA,1,0.04,0.5
0.49839999999999995,100,10,280,124.6,1.6094379124341005,70.30497592295345,2,2,438,-0,0.03963841381725884,24,MvJRQA,2,0.04,0.5
