coupling,index_simu,rqa_RR1,rqa_RR2,rqa_RR12,jrqa_RR,jrqa_DET,jrqa_DENTR,mdrqa_RR,mdrqa_DET,mdrqa_DENTR
0,1,19.961599999999997,19.9592,19.9604,4.1384,8.196404407500484,0.16302362949436594,2.1288,3.908305148440436,-0
0,2,19.96,19.9592,19.959600000000002,3.9711999999999996,8.098307816277197,0.23117983667945946,2.128,3.195488721804511,0.11251593411963928
0,3,19.96,19.9592,19.959600000000002,4.013599999999999,7.414789714969105,0.18031902555609897,2.1072,3.189066059225513,-0
0,4,19.9584,19.9576,19.958,3.9952,8.350020024028835,0.1488722078169196,2.1368,4.829651815799326,0.08048483706800685
0,5,19.96,19.96,19.96,4.1312,8.443067389620449,0.1273895840531799,2.3624,4.402302742973248,0.13906079845474112
0,6,19.96,19.9632,19.9616,4.086399999999999,7.5763508222396245,0.12119452295330035,2.2248,4.279036317871269,0.08591550133466311
0,7,19.961599999999997,19.9552,19.958399999999997,3.9983999999999997,8.743497398959583,0.14352504384272638,2.2159999999999997,4.512635379061372,0.08256493803586595
0,8,19.96,19.9552,19.9576,4.0528,7.856296881168574,0.2206643486665124,2.1776,4.298310066127847,0.08709952319177525
0,9,19.9592,19.9624,19.9608,3.9904,6.8163592622293505,0.1547802820103666,2.2104,4.306912775968151,0.2035609061707257
0,10,19.96,19.9608,19.9604,3.9104,8.531096563011456,0.23878983852361862,2.2512,4.939587775408671,0.2654460308093813
0,11,19.9592,19.9648,19.962,4.0584,7.983441750443525,0.21725280209923895,2.2896,6.044723969252272,0.15268872541180956
0,12,19.9608,19.9608,19.9608,4.0216,7.718321066242291,0.13429406283649897,2.1864000000000003,3.6223929747530184,0.09962338946616205
0,13,19.9592,19.9592,19.9592,3.9248,7.317570322054627,0.23863509600076746,2.1431999999999998,4.180664427025009,0.15621017106188279
0,14,19.9608,19.9608,19.9608,3.9711999999999996,8.561643835616438,0.20765927051192246,2.1168,5.177626606198035,0.07664880077618422
0,15,19.96,19.9576,19.9588,3.8768,7.593891869583161,0.21687593638833497,2.0808,3.3448673587081887,0.11045304667259806
0,16,19.9608,19.9592,19.96,4.192,7.061068702290077,0.14490921486754785,2.3816,4.837084313066846,0.12831870551552965
0,17,19.96,19.96,19.96,4.054399999999999,7.517758484609313,0.22547760851556733,2.3047999999999997,4.824713641096841,0.18081639033462518
0,18,19.96,19.9608,19.9604,4.12,9.398058252427184,0.22579504754825686,2.3104,4.501385041551247,0.13906079845474112
0,19,19.9624,19.961599999999997,19.961999999999996,3.8688000000000002,7.133995037220843,0.13269142083987176,1.8912000000000002,4.357021996615906,0.09650896073594732
0,20,19.9584,19.9592,19.9588,3.9503999999999997,7.614418793033617,0.1430984409655493,2.0768,3.8135593220338984,0.09962338946616205
0,21,19.9592,19.96,19.959600000000002,3.8512,7.104279185708351,0.15407610367102942,2.0271999999999997,4.064719810576165,0.09650896073594732
0,22,19.9608,19.96,19.9604,3.9672,7.662835249042145,0.1365931382853015,2.1431999999999998,4.404628592758493,0.08709952319177525
0,23,19.9592,19.9584,19.9588,4.0088,8.321692276990621,0.1488722078169196,2.1544,4.753063497957668,-0
0,24,19.96,19.961599999999997,19.9608,4.036,7.1159563924677895,0.1672211889848188,2.2336,3.4383954154727796,-0
0,25,19.9584,19.9552,19.9568,3.8832,6.427688504326329,0.12045603384922707,2.1536,4.011887072808321,-0
0,26,19.9608,19.9648,19.9628,3.936,8.048780487804878,0.26208858364777443,2.1984,4.8034934497816595,0.13740600645276865
0,27,19.96,19.96,19.96,4.0752,7.518649391440911,0.12219479832829927,2.1896,3.872853489221776,-0
0,28,19.96,19.9608,19.9604,4.1032,7.311366738155586,0.12425083738963087,2.2784,4.634831460674158,-0
0,29,19.9592,19.9584,19.9588,3.8920000000000003,7.646454265159301,0.18031902555609897,2.2752000000000003,4.289732770745429,-0
0,30,19.96,19.9608,19.9604,4.1472,9.5679012345679,0.14191900289814274,2.3376,4.962354551676933,0.07319012915586921
0,31,19.9608,19.9584,19.959600000000002,3.92,8.020408163265307,0.238771913342404,2.1824,3.9222873900293256,0.1896831364389792
0,32,19.9592,19.9592,19.9592,4.1168000000000005,8.200544111931597,0.13070811965126178,2.4032,4.92676431424767,0.12557498044903107
0,33,19.9592,19.9592,19.9592,3.9568,7.784067933683785,0.15841057013179086,2.152,5.5390334572490705,0.07158483369291901
0,34,19.9592,19.96,19.959600000000002,4.1096,8.214911426902862,0.2758723292504366,2.3952,5.076820307281229,0.21028341228613337
0,35,19.9584,19.96,19.959200000000003,4.1344,6.811145510835913,0.10945235816266657,2.2872,3.4977264777894366,0.17052985644751145
0,36,19.9608,19.9608,19.9608,3.9168000000000003,7.761437908496732,0.1773971883076644,2.0552,3.853639548462437,0.09962338946616205
0,37,19.9592,19.9592,19.9592,4.032,7.2817460317460325,0.12638447497364227,2.4983999999999997,4.322766570605188,0.18490739916777568
0,38,19.961599999999997,19.96,19.9608,4.0032,7.474020783373302,0.27496744071905566,2.1168,4.837490551776266,0.14076012201547114
0,39,19.9592,19.9584,19.9588,3.9648000000000003,8.151735270379339,0.1299396975749184,2.3072,4.542302357836339,0.07948700320303707
0,40,19.96,19.9576,19.9588,3.9800000000000004,7.577889447236181,0.16101072780600936,2.1616,4.182087342709105,0.08957802666754391
0,41,19.9592,19.96,19.959600000000002,3.8592,6.861525704809288,0.09131801545527848,2.0552,3.8147138964577656,-0
0,42,19.9592,19.96,19.959600000000002,4.013599999999999,7.753637632051026,0.12070109643414505,2.1839999999999997,4.175824175824175,-0
0,43,19.96,19.96,19.96,3.9376,7.578220235676554,0.12477679669775929,2.3175999999999997,3.969623748705557,0.08831978220001763
0,44,19.96,19.9584,19.959200000000003,3.9944,7.730823152413378,0.10168448146920968,2.2672000000000003,4.622441778405081,0.07948700320303707
0,45,19.96,19.9592,19.959600000000002,3.9663999999999997,8.834207341670028,0.18876886701175521,2.2176,5.086580086580087,0.07487597323206041
0,46,19.961599999999997,19.9584,19.96,4.0912,7.332811888932343,0.1583886841624549,2.3296,4.945054945054945,-0
0,47,19.9608,19.9592,19.96,4.0688,7.274872198191113,0.14490921486754785,2.2792,4.317304317304317,0.1985152433458726
0,48,19.96,19.9608,19.9604,3.9936,7.051282051282051,0.10945235816266657,2.1048,3.610794374762448,0.10296666046541245
0,49,19.9608,19.9608,19.9608,4.0624,7.877116975187082,0.22883750909110168,2.4143999999999997,5.301524188204108,-0
0,50,19.9608,19.9584,19.959600000000002,3.9079999999999995,6.448311156601842,0.22371807606583377,2.2448,3.7776193870277974,-0
0,51,19.9608,19.9592,19.96,3.8944,8.134757600657354,0.20474349598523772,2.076,3.9306358381502893,0.167944147734173
0,52,19.9584,19.9592,19.9588,3.9544,7.444871535504754,0.21687593638833497,2.0984,3.6218070911170415,0.10296666046541245
0,53,19.9576,19.9592,19.958399999999997,4.064,8.051181102362206,0.07695321955601557,2.2800000000000002,4.280701754385965,0.1461447460085638
0,54,19.9584,19.9592,19.9588,3.8120000000000003,7.974816369359916,0.24458088381520188,2.1912000000000003,4.782767433369843,0.07948700320303707
0,55,19.9592,19.96,19.959600000000002,3.9592,8.870478884623157,0.14301345535068033,2.3487999999999998,5.313351498637602,0.20619205063323187
0,56,19.9608,19.9584,19.959600000000002,4.013599999999999,8.351604544548536,0.209904040611741,2.2296,3.8392536777897384,0.09359996324581574
0,57,19.9608,19.9584,19.959600000000002,3.9616,7.451534733441035,0.12584354296834338,2.2384,5.110793423874195,0.0740225961475812
0,58,19.96,19.9576,19.9588,3.8864,7.307533964594483,0.08630625234428768,2.0591999999999997,4.001554001554002,0.09650896073594732
0,59,19.9576,19.96,19.9588,3.9496000000000002,8.041320640064816,0.11877070862298246,2.0296000000000003,3.429247142294048,0.11045304667259806
0,60,19.9592,19.96,19.959600000000002,4.14,7.3816425120772955,0.1413367827057732,2.2104,3.4020991675714805,0.17884491271684755
0,61,19.96,19.9592,19.959600000000002,3.9336,7.545251169412243,0.19770105774129593,2.1999999999999997,4.7272727272727275,0.13906079845474112
0,62,19.9592,19.9608,19.96,4.0616,8.272601930273783,0.22633049684135675,2.116,4.007561436672968,-0
0,63,19.96,19.9576,19.9588,3.9392000000000005,7.1486596263200655,0.18684587211017317,2.1952,4.774052478134111,0.07948700320303707
