RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
0.9976,100,74,251,33.7027027027027,3.2970367495976385,84.12189254210104,2.8161073825503355,5,745,1.1241937397934638,0.18674778101501932,1,1,0,1
0.972,100,20,302,121.5,1.7480673485460894,66.33744855967079,2,2,806,-0,0.045197613561752156,1,2,0,1
0.2736,100,16,81,42.75,1.9061547465398494,0,0,0,0,0,NA,1,j,0,1
1.9952,100,144,316,34.638888888888886,3.547182261805794,94.44667201283079,3.8837592745259686,10,1213,1.7950644428110742,0.2731472451912536,2,1,0,2
1.9976,100,30,499,166.46666666666667,2.3383717048035724,95.23428113736485,3.0216010165184244,4,1574,0.7088742879285325,0.09034838272209396,2,2,0,2
0.588,100,24,316,61.25,2.3693821196946763,69.1156462585034,2,2,508,-0,NA,2,j,0,2
4.9896,99.96793330126663,350,499,35.628571428571426,3.871212402960513,99.31056597723264,6.599893446989878,18,1877,2.524503012849072,0.4575048836234475,3,1,0,5
4.9912,100,58,499,215.13793103448276,3.1760828146595927,99.95191537105306,6.86028602860286,10,1818,1.1570798495786072,0.22472267290508896,3,2,0,5
1.3944,100,50,499,69.72,2.9416169526442224,97.99196787148594,3.6301806588735386,5,941,1.2593266217247427,NA,3,j,0,5
9.9792,99.99198332531665,726,499,34.36088154269972,4.016357200078212,99.89979156645823,10.281765676567657,28,2424,3.0321899537509807,0.6844453198530243,4,1,0,10
9.980799999999999,100,104,499,239.92307692307693,3.9245842116368137,99.97595383135621,13.572361262241566,20,1838,1.1307404300198525,0.43631412157751365,4,2,0,10
2.8992,100,128,499,56.625,3.6713022371319233,99.48951434878587,6.398402839396629,16,1127,2.0444835959950334,NA,4,j,0,10
0.9976,100,74,251,33.7027027027027,3.2970367495976385,84.12189254210104,2.8161073825503355,5,745,1.1241937397934638,0.18674778101501932,5,1,0.025,1
0.9936,100,28,303,88.71428571428571,2.6390573296152584,63.36553945249598,2.0153649167733674,3,781,0.07940506616837198,0.04631301540446466,5,2,0.025,1
0.3088,100,10,251,77.2,1.3321790402101223,0,0,0,0,0,NA,5,j,0.025,1
1.9952,100,144,316,34.638888888888886,3.547182261805794,94.44667201283079,3.8837592745259686,10,1213,1.7950644428110742,0.2731472451912536,6,1,0.025,2
1.9944,100,44,499,113.31818181818181,3.091042453358316,94.70517448856799,3.044487427466151,5,1551,0.7933349371730912,0.09152373413895089,6,2,0.025,2
0.5983999999999999,100,18,316,83.11111111111111,2.1972245773362196,71.3903743315508,2,2,534,-0,NA,6,j,0.025,2
4.9896,99.96793330126663,350,499,35.628571428571426,3.871212402960513,99.31056597723264,6.599893446989878,18,1877,2.524503012849072,0.4575048836234475,7,1,0.025,5
4.9896,100,70,499,178.2,3.5553480614894135,99.95189995189995,6.8467874794069195,11,1821,1.3297449538405948,0.2245141443227757,7,2,0.025,5
1.4304000000000001,100,48,499,74.5,3.0047670352079594,98.04250559284117,3.7258235919234854,5,941,1.3305763411220635,NA,7,j,0.025,5
9.9792,99.99198332531665,726,499,34.36088154269972,4.016357200078212,99.89979156645823,10.281765676567657,28,2424,3.0321899537509807,0.6844453198530243,8,1,0.025,10
9.98,100,118,499,211.4406779661017,4.07753744390572,99.97595190380761,13.549158066268333,20,1841,1.4204706288493352,0.4392966412249634,8,2,0.025,10
2.916,100,132,499,55.22727272727273,3.687916610761875,99.49245541838134,6.43566992014197,16,1127,2.1559931753502792,NA,8,j,0.025,10
0.9976,100,74,251,33.7027027027027,3.2970367495976385,84.12189254210104,2.8161073825503355,5,745,1.1241937397934638,0.18674778101501932,9,1,0.05,1
0.9984,99.9198717948718,42,499,59.38095238095238,2.780466368938682,56.41025641025641,2.169491525423729,3,649,0.4550790449673947,0.055034982321912534,9,2,0.05,1
0.3424,100,8,251,107,1.3862943611198906,0,0,0,0,0,NA,9,j,0.05,1
1.9952,100,144,316,34.638888888888886,3.547182261805794,94.44667201283079,3.8837592745259686,10,1213,1.7950644428110742,0.2731472451912536,10,1,0.05,2
1.9959999999999998,99.95991983967936,52,499,95.92307692307692,3.1514585102430295,96.57314629258516,2.925925925925926,5,1647,1.0165405485012802,0.09452163063079656,10,2,0.05,2
0.6216,100,20,316,77.7,2.1639556568820564,76.19047619047619,2,2,592,-0,NA,10,j,0.05,2
4.9896,99.96793330126663,350,499,35.628571428571426,3.871212402960513,99.31056597723264,6.599893446989878,18,1877,2.524503012849072,0.4575048836234475,11,1,0.05,5
4.9888,100,84,499,148.47619047619048,3.671655601087183,99.95189223861449,6.830684931506849,11,1825,1.4921262642646873,0.22516122364978622,11,2,0.05,5
1.432,100,48,499,74.58333333333333,2.947004770161297,98.04469273743017,3.7300743889479278,5,941,1.3322823883986088,NA,11,j,0.05,5
9.9792,99.99198332531665,726,499,34.36088154269972,4.016357200078212,99.89979156645823,10.281765676567657,28,2424,3.0321899537509807,0.6844453198530243,12,1,0.05,10
9.98,100,138,499,180.79710144927537,4.193924059347408,99.97595190380761,13.519783197831979,21,1845,1.7640168227053972,0.43714028505355135,12,2,0.05,10
2.9423999999999997,100,134,499,54.8955223880597,3.6690611957238,99.49700924415443,6.494232475598936,16,1127,2.2364474894751987,NA,12,j,0.05,10
0.9976,100,74,251,33.7027027027027,3.2970367495976385,84.12189254210104,2.8161073825503355,5,745,1.1241937397934638,0.18674778101501932,13,1,0.07500000000000001,1
0.9984,100,54,499,46.22222222222222,2.8976680950647613,57.932692307692314,2.3900826446280994,3,605,0.6687850404490258,0.06183145756261071,13,2,0.07500000000000001,1
0.3424,100,8,251,107,1.3862943611198906,0,0,0,0,0,NA,13,j,0.07500000000000001,1
1.9952,100,144,316,34.638888888888886,3.547182261805794,94.44667201283079,3.8837592745259686,10,1213,1.7950644428110742,0.2731472451912536,14,1,0.07500000000000001,2
2.0008000000000004,100,68,499,73.55882352941177,3.322493706804413,98.8204718112755,2.848991354466859,5,1735,1.022289700100631,0.09816285137022736,14,2,0.07500000000000001,2
0.6696,100,16,316,104.625,2.0794415416798357,85.06571087216248,2,2,712,-0,NA,14,j,0.07500000000000001,2
4.9896,99.96793330126663,350,499,35.628571428571426,3.871212402960513,99.31056597723264,6.599893446989878,18,1877,2.524503012849072,0.4575048836234475,15,1,0.07500000000000001,5
4.9888,100,100,499,124.72,3.801119456538555,99.95189223861449,6.819474835886214,11,1828,1.6024155069697992,0.2254213225280387,15,2,0.07500000000000001,5
1.432,100,48,499,74.58333333333333,2.947004770161297,98.04469273743017,3.7300743889479278,5,941,1.3322823883986088,NA,15,j,0.07500000000000001,5
9.9792,99.99198332531665,726,499,34.36088154269972,4.016357200078212,99.89979156645823,10.281765676567657,28,2424,3.0321899537509807,0.6844453198530243,16,1,0.07500000000000001,10
9.9792,100,154,499,162,4.210983231313375,99.97594997594997,13.496753246753247,22,1848,2.0188100855602866,0.43821775281500003,16,2,0.07500000000000001,10
2.9304,100,136,499,53.86764705882353,3.663671706785158,99.82254982254982,6.3536055603822765,16,1151,2.2895830388608722,NA,16,j,0.07500000000000001,10
0.9976,100,74,251,33.7027027027027,3.2970367495976385,84.12189254210104,2.8161073825503355,5,745,1.1241937397934638,0.18674778101501932,17,1,0.1,1
